"","CaseID","god_open","rel_groups","god_y","pct_believe","pct_nonbelieve","church","pray","gender_ident","sex_or","social_cons","econ_cons","vote2016","candidate2016","stem","age","educ","female","sbs_m","sbs_sd","crt","crtZ","pt_m","pt_sd","cred_m","cred_sd","mot_m","mot_sd","tfa_m","tfa_sd","eXtra_m","eXtra_sd","Consc_m","Consc_sd","Neuro_m","Neuro_sd","Agree_m","Agree_sd","Open_m","Open_sd","Hum_m","Hum_sd"
"1533",1714,"","United Methodist",1,80,20,7,7,"male",NA,6,6,1,"non",0,62,12,0,0.912643351737925,0.410796138164446,8,1.80952386776814,-1.18925419920629,-1.25297266739401,0.689364298108261,-1.61460311079585,-0.50413203457014,-0.770542373861631,-0.253114264993601,-2.00099752257268,0.277269440719046,-1.68907643030304,-0.47956097381964,-0.00538809827533266,-0.0218496309586545,-0.610173283182143,-1.04614321883221,-1.38713430761848,-0.684627341247703,-1.51925750985379,0.615267157701448,-0.0188715068182718
"1534",1716,"Not sure","None",0,75,25,2,1,"male",NA,3,3,-1,"NA",0,18,9,0,-0.985749032898529,-0.0464087780243106,2,-0.444625864651599,-1.00628183770865,-1.94912246697906,-1.6981124108901,-1.61460311079585,-0.673762518242978,-0.53059168751239,-0.253114264993601,-2.00099752257268,0.277269440719046,-0.228309055351447,-0.994954416840671,-0.304776910191954,0.904841587409931,-0.610173283182143,-0.77486990202709,-0.505680438005696,0.0566354037514411,1.0301426581601,-0.931817651881178,0.383761644832993
"1535",1717,"That he take care of us","",1,50,50,1,6,"male",NA,1,1,0,"NA",0,26,9,0,0.667689495655802,-1.41802352659058,1,-0.820317486721556,0.0915523312771992,1.64577964003229,0.689364298108261,-1.61460311079585,1.19217280215824,-1.58558678044292,-1.23835067212329,2.39865295093925,0.277269440719046,2.44259763595434,-0.994954416840671,2.1309210488511,0.441495978225638,2.32242040507954,-1.04614321883221,2.68412672357494,-1.67297766791323,1.87994271416473,-2.4789024614638,-1.57761794768281
"1536",1718,"No","None",0,80,20,2,1,"female",NA,4,5,1,"clinton",0,46,14,1,-2.39423370537074,-1.41802352659058,4,0.306757379488313,-0.457364753215723,0.139326931776077,-1.01597620831914,-0.0516076553666977,-0.50413203457014,-0.770542373861631,1.84051310015698,0.0102942823314222,-1.50295584688828,-0.228309055351447,0.293529190711906,-0.821146228097169,-0.485195240142947,-0.205266590312902,-1.04614321883221,0.648496207978232,0.550810567084204,-0.669457453849157,-0.710805536226518,-0.304906808183653
"1538",1722,"I believe in scientific reasoning. The existence of a god or some variety of deity was a result , many millennia ago, of , I believe, peoples need for an explanation of natural events affecting their every day lives. Belief in a higher being was the result and people who wanted personal influence over other people, basically, convinced people that they had a closer bond to their god than others...hence, the religious community was born.  I do not believe in a god, only nature and scientific fact.","None.",0,40,60,1,1,"male",NA,3,5,1,"clinton",0,73,13,0,-2.39423370537074,-1.41802352659058,2,-0.444625864651599,-0.274392391718083,-0.499971098647707,-1.52757836024736,-0.509398425298141,0.513650867466888,-0.368970746117903,-0.12995971410239,0.0102942823314222,0.0547412797681295,1.36633774641474,0.293529190711906,-0.821146228097169,-0.0218496309586545,-0.610173283182143,-0.77486990202709,0.30072135038952,1.04498573041697,-0.669457453849157,-0.931817651881178,-0.0852318510803894
"1539",1723,"I believe there is a higher power but dont know what that higher power is","None",1,70,30,1,2,"male",NA,5,5,-1,"NA",1,28,9,0,-0.434602856713752,-0.808416971672239,1,-0.820317486721556,-0.274392391718083,-0.964617978962575,-0.674908107033661,-0.509398425298141,0.174389900121212,-1.73330035170981,-0.12995971410239,-1.35611658761408,0.277269440719046,-1.68907643030304,-0.47956097381964,-0.00538809827533266,-0.253522435550801,-0.741137634931864,-0.77486990202709,0.30072135038952,-0.684627341247703,-1.51925750985379,-0.489793420571857,-0.0852318510803894
"1540",1724,"","",1,80,20,1,3,"male",NA,1,1,1,"clinton",0,45,12,0,-0.557079784754814,3.15402563529699,3,-0.0689342425816433,0.457497054272482,0.0198865090539073,-1.01597620831914,1.23902311659284,-0.673762518242978,1.71446006109606,4.05729501619878,-1.35611658761408,-2.17054032974103,-0.794542754918982,2.09740624128551,-1.63690435791901,-2.33857767688012,-1.5877045126027,-1.04614321883221,1.49168197551893,2.03333605708249,-0.669457453849157,-2.92092669277313,-0.677675270451299
"1541",1725,"","Catholic",1,95,5,7,7,"male",NA,3,3,1,"clinton",0,75,13,0,0.851404887717394,-0.442176899816687,5,0.682449001558269,0.823441777267764,0.394466979270586,1.20096645003648,-0.0516076553666977,-1.18265396926149,0.349380649666893,-0.00680516321117864,0.299634778620539,0.277269440719046,-0.228309055351447,1.32431607675397,-0.821146228097169,-1.87523206769583,-0.610173283182143,1.39531663241385,-0.505680438005696,0.0566354037514411,0.107985709729587,-0.0477691892625349,-0.0852318510803894
"1542",1726,"No comment","None",0,95,5,1,1,"female",NA,2,3,1,"clinton",0,61,10,1,-1.23070288898065,0.677152609950338,2,-0.444625864651599,1.18938650026305,0.359745216125645,-1.6981124108901,-1.61460311079585,0.683281351139727,0.504662608597454,-1.3615052230145,1.03000523868631,-1.7254840078392,-0.794542754918982,1.58201279826448,-0.694948006226479,2.52655121955496,0.0333476418187074,1.66658994921896,-0.369319049820124,-0.19045217791494,1.73522892931296,0.836279273356109,0.760501713613999
"1543",1727,"Don't believe","none",0,80,20,1,1,"male",NA,2,3,1,"clinton",0,25,11,0,-0.863272104857468,0.143628562123044,0,-1.19600910879151,-1.00628183770865,-1.94912246697906,-1.18651025896188,-0.0516076553666977,0.00475941644837506,0.242681614237603,-0.253114264993601,-2.00099752257268,0.277269440719046,-1.68907643030304,-0.994954416840671,-1.63690435791901,0.441495978225638,-1.5877045126027,-1.04614321883221,-1.38713430761848,-0.684627341247703,-1.51925750985379,-0.710805536226518,-1.57761794768281
"1544",1728,"I believe","I attend a non denominational church",1,75,25,7,6,"female",NA,5,5,1,"trump",0,53,9,1,0.790166423696863,-0.503613694213067,0,-1.19600910879151,1.0064141387654,-0.964617978962575,-1.01597620831914,-0.0516076553666977,0.513650867466888,-0.368970746117903,0.239503938571242,0.748784023372276,-0.167786881182787,0.0999909204650784,-0.737257695330156,0.810370031546504,-0.94854084932724,-0.610173283182143,1.12404331560873,-1.38713430761848,1.04498573041697,-0.669457453849157,-1.81586611449982,-0.798244727250543
"1545",1729,"Yo creo qué hay solo un Dios ,","Soy Católica",1,60,40,7,6,"female",NA,3,3,-1,"NA",0,40,5,1,0.422735639573678,0.410796138164446,0,-1.19600910879151,-0.457364753215723,-0.151671413473385,0.348296196822781,-0.187789997101505,1.0225423184854,0.0773640156477791,-0.745732468558444,-0.545949896507661,-0.167786881182787,0.0999909204650784,0.0358324692013903,0.6704080637013,0.441495978225638,0.367357946238417,0.0389500483882616,-1.38713430761848,-0.931714922914084,-0.669457453849157,-0.268781304917196,-0.677675270451299
"1548",1732,"I have faith that there is some kind of higher power.  However, the messages from the Christian Churches leads me to believe that religion is all about money except in a few cases.","Narrow minded Baptist.  I converted to the Church of Jesus Christ of Latter Day Saints when I was 26 years old.  I remained in that faith for 48 years.  With the emergence of computers and information about the founder of that faith, I had my name removed from the membership  Believe me when I say that removing myself from their membership roll was a major undertaking..  As far as I am concerned, Joseph Smith, Jr. was a Sociopath and sexual predator.",1,80,20,7,2,"female",NA,2,2,1,"clinton",0,81,13,1,-0.373364392693222,0.742642610733761,0,-1.19600910879151,-0.274392391718083,1.55475468569694,-0.504374056390921,0.772911884329506,-1.35228445293433,-0.953594671943097,0.485813040353664,0.232935565788927,0.722325762620879,0.620599587953076,1.06661935524345,-1.63690435791901,-1.64355926310368,-0.741137634931864,0.852769998803613,-0.505680438005696,-0.437539759581321,2.95061538991992,-0.489793420571857,2.71483504651348
"1549",1733,"I believe there are forces influencing the world that the human mind cannot comprehend.","Catholic",1,80,20,7,2,"male",NA,4,5,1,"trump",0,22,10,0,-0.0671720725905677,0.821813978518224,0,-1.19600910879151,1.0064141387654,0.139326931776077,0.518830247465521,-0.509398425298141,-0.50413203457014,-0.275389121527241,1.34789489659214,-0.229574676828596,0.499797601669962,0.0238251489241735,-1.5103478598617,0.469374076303181,0.904841587409931,0.105429242738975,0.581496681998496,-0.369319049820124,1.78624847541611,-0.537992927670522,-1.59485399884516,-1.57761794768281
"1550",1734,"there are many things unexplained","none",1,80,20,1,2,"male",NA,2,5,1,"clinton",1,47,10,0,-0.189649000631629,-0.0212394355633018,1,-0.820317486721556,0.274524692774841,-0.107283222029573,-1.18651025896188,-0.0516076553666977,0.344020383794051,0.0207370684000367,0.978431243918507,1.54184816891548,1.38991024547363,-0.794542754918982,0.293529190711906,-0.074846464190925,-0.485195240142947,-0.205266590312902,-0.232323268416855,0.831142618349937,0.550810567084204,-0.669457453849157,-0.931817651881178,-0.798244727250543
"1551",1735,"Not really sure. Hard to believe in something you cannot see.","None",0,90,10,1,2,"male",NA,4,5,0,"NA",0,52,9,0,-0.434602856713752,0.485472331047215,3,-0.0689342425816433,0.0915523312771992,0.528492828122755,-0.504374056390921,0.772911884329506,0.344020383794051,0.800089751131239,NA,NA,0.0547412797681295,0.0238251489241735,0.808922633732936,-0.821146228097169,-0.0218496309586545,0.598121766510611,-0.232323268416855,0.831142618349937,0.303722985417822,-1.51925750985379,0.615267157701448,1.12221008401173
"1552",1736,"He is alive and well","Green Mountain Christian",1,50,50,7,6,"female",NA,7,6,1,"trump",0,57,9,1,0.790166423696863,1.37554465546398,1,-0.820317486721556,-0.274392391718083,0.835476731361122,-1.52757836024736,-0.509398425298141,0.513650867466888,0.847567070376467,-1.97727797747055,0.489035571854769,-0.612843203084619,0.376760602825648,-1.76804458137222,0.416041915207983,0.904841587409931,1.34488917565898,-0.503596585221973,0.888769797355117,-0.931714922914084,0.107985709729587,-1.81586611449982,-0.0852318510803894
"1553",1737,"Not really a believer (I'm not spiritual and I don't go to church),  but there must be something ""greater"" out there.","None",0,80,20,2,1,"female",NA,3,6,1,"third",1,54,13,1,-1.35317981702171,0.515736483721341,6,1.05814062362823,0.640469415770123,-1.05039694022622,-0.333840005748181,0.403215345562478,-1.86117590395284,-0.842477873083562,0.116349387680032,0.876435693456717,-1.50295584688828,-0.228309055351447,-1.25265113835119,1.72655257629275,0.673168782817784,1.30387185925904,-1.58868985244244,0.888769797355117,-1.42589008624685,0.619359065452468,0.173242926392126,0.626782409288613
